Count,ExcerptPostId,Id,TagName,WikiPostId
75,2138,1,cruising,2137
39,357,2,caribbean,356
31,319,4,vacations,318
6,14548,6,amazon-river,14547
74,1792,8,romania,1791
314,1183,9,transportation,1182
36,243,10,extreme-tourism,242
10,164,11,antarctica,163
326,1112,12,planning,1111
1962,158,14,usa,157
450,1193,15,airports,1192
662,1417,16,public-transport,1416
67,2394,17,argentina,2393
367,2719,18,money,2718
387,506,19,safety,505
3462,311,20,visas,310
60,2406,21,peru,2405
34,4224,22,bolivia,4223
67,361,25,cuba,360
435,281,26,international-travel,280
36,13726,27,hungary,13725
25,369,28,budapest,368
796,337,29,trains,336
554,286,30,europe,285
305,496,31,china,495
47,1798,32,mongolia,1797
207,294,33,russia,293
62,355,34,south-america,354
11,2398,39,tropical-destinations,2397
51,1734,40,activities,1733
71,3840,41,destinations,3839
61,1191,42,adventure,1190
107,1120,43,taxis,1119
15,3813,45,estonia,3812
2075,255,46,air-travel,254
28,18388,47,permits,18387
8,9728,48,tibet,9727
23,2386,49,florida,2385
12,643,50,orlando,642
89,4507,52,south-africa,4506
603,325,53,luggage,324
442,469,55,japan,468
384,2134,57,airlines,2133
102,1794,59,israel,1793
13,9867,60,palestine,9866
258,1718,61,accommodation,1717
472,459,62,france,458
22,670,65,shanghai,669
90,365,67,new-zealand,364
100,2418,68,vietnam,2417
180,1730,72,insurance,1729
39,332,74,central-america,331
34,2366,75,around-the-world,2365
504,340,76,india,339
118,367,77,hiking,366
41,371,78,africa,370
5,1742,82,kilimanjaro,1741
2,1140,84,international-calls,1139
214,253,85,sightseeing,252
503,1185,86,online-resources,1184
39,1134,87,mobile-operators,1133
614,392,90,budget,391
121,1728,92,tours,1727
25,4222,94,ecuador,4221
105,8306,95,hong-kong,8305
211,641,96,paris,640
43,359,98,high-speed-rail,358
82,1056,99,fares,1055
272,1720,100,hotels,1719
158,597,101,loyalty-programs,596
22,317,103,middle-east,316
4,52898,104,yemen,52897
152,1122,105,road-trips,1121
43,2390,106,denmark,2389
103,10475,107,nature-and-wildlife,10474
69,2262,108,iran,2261
35,2380,109,pakistan,2379
10,532,111,uzbekistan,531
9,2228,112,tajikistan,2227
185,375,113,spain,374
295,508,114,cellphones,507
48,3721,115,diving,3720
11,260,116,ecotourism,259
73,2230,117,malaysia,2229
46,2136,119,guides,2135
2,14579,122,astrakhan,14578
135,327,123,ferries,326
19,1796,124,kazakhstan,1795
31,315,126,consulates,314
9,346,127,castles,345
281,467,128,italy,466
43,2374,130,mountains,2373
70,284,134,overland,283
8,3817,135,carnet-de-passage,3816
70,353,138,language-barrier,352
24,1744,139,tourist-traps,1743
6,23914,140,eclipses,23913
299,1738,141,australia,1737
12,647,144,tallinn,646
20,4708,147,star-alliance,4707
21,344,148,alaska,343
103,1219,149,work,1218
321,363,151,food-and-drink,362
44,1197,152,seasonal,1196
59,2296,153,tipping,2295
72,257,154,photography,256
69,1199,155,backpacking,1198
157,1326,156,security,1325
227,1736,157,automobiles,1735
282,1132,160,buses,1131
19,16754,162,passenger-rights,16753
60,16118,163,delays,16117
4,53270,164,aktau,53269
18,9855,166,mountain-climbing,9854
96,342,167,georgia-country,341
14,335,168,caucasus,334
182,1118,169,borders,1117
81,595,172,southeast-asia,594
9,2392,173,black-sea,2391
25,2384,174,eastern-europe,2383
54,645,175,rome,644
58,2372,176,motorcycles,2371
13,1124,177,trans-siberian,1123
143,1223,178,local-customs,1222
14,510,179,armenia,509
22,512,180,azerbaijan,511
12,10487,182,guatemala,10486
70,653,185,istanbul,652
173,534,186,turkey,533
91,2260,192,iceland,2259
79,2264,195,greece,2263
98,2388,196,clothing,2387
1296,413,197,uk,412
937,541,199,customs-and-immigration,540
4,2414,201,shore-excursions,2413
274,1116,202,car-rentals,1115
343,1187,206,health,1186
26,463,208,north-america,462
106,2232,209,routes,2231
307,1189,211,driving,1188
57,1755,215,itineraries,1754
88,2292,216,maps,2291
31,649,218,boston,648
117,1128,221,camping,1127
43,2140,222,bulgaria,2139
33,655,225,los-angeles,654
333,461,226,airport-transfer,460
159,630,227,new-york-city,629
100,3735,228,poland,3734
495,841,229,germany,840
11,2362,231,western-usa,2361
2,661,233,bukhara,660
62,2408,234,philippines,2407
21,668,237,seattle,667
312,657,240,london,656
20,651,241,kuala-lumpur,650
109,1114,243,rental,1113
138,521,244,mexico,520
29,1763,246,postage,1762
49,9831,251,cambodia,9830
47,1761,252,laos,1760
20,9829,254,grand-canyon,9828
151,1999,255,switzerland,1998
61,2298,256,taiwan,2297
181,2144,257,thailand,2143
79,1765,258,sea-travel,1764
14,1138,262,freighter-travel,1137
80,1722,269,hostels,1721
1399,1126,270,schengen,1125
15,10010,271,tanzania,10009
4,52900,273,swaziland,52899
99,3733,274,power,3732
21,1203,281,lax,1202
12,2962,283,british-columbia,2961
6,1207,285,jnb,1206
36,11707,290,washington-dc,11706
245,2142,291,airport-security,2141
17,10109,293,campers,10108
72,2622,294,norway,2621
151,860,295,netherlands,859
13,34849,297,cyprus,34848
539,1790,299,canada,1789
38,1751,301,toronto,1750
5,10489,302,honduras,10488
11,2234,304,kyrgyzstan,2233
3,,307,pamir-highway,
28,9845,308,festivals,9844
15,1205,309,kul,1204
4,16210,311,dushanbe,16209
646,1221,313,passports,1220
40,9865,315,shipping,9864
42,2226,320,ukraine,2225
31,3238,322,venice,3237
607,2224,323,tickets,2223
41,9839,324,travel-agents,9838
26,1749,329,stockholm,1748
108,2240,333,driving-licenses,2239
69,3372,337,museums,3371
12,3811,338,lithuania,3810
102,2382,339,indonesia,2381
64,2410,340,solo-travel,2409
14,2378,343,nicaragua,2377
42,1136,344,atms,1135
3,3815,345,bishkek,3814
54,2364,347,working-holiday,2363
9,9863,350,jetlag,9862
53,2370,351,long-haul,2369
98,3350,352,ireland,3349
941,1195,353,transit,1194
9,23283,354,central-asia,23282
33,6401,363,outdoor-activities,6400
93,4584,369,tokyo,4583
2,,373,novosibirsk,
8,1148,375,ulan-bator,1147
196,1110,377,children,1109
22,2960,378,buenos-aires,2959
172,1150,381,lhr,1149
109,2402,382,singapore,2401
32,9732,385,beijing,9731
30,1757,390,officials,1756
3,,392,irkutsk,
3,,393,almaty,
78,2396,396,sweden,2395
5,66039,398,beggars,66038
2,1270,399,syx,1269
8,1272,400,mel,1271
21,1276,403,lgw,1275
3,2914,405,astana,2913
7,1753,407,zimbabwe,1752
60,1350,409,wifi,1349
51,2258,413,islands,2257
17,2404,414,remote-locations,2403
8,10712,416,corruption,10711
48,2416,419,san-francisco,2415
11,10004,420,northern-california,10003
41,1746,422,vancouver,1745
78,1355,424,united-airlines,1354
21,1357,425,easyjet,1356
48,1363,428,ewr,1362
11,1388,432,cathay-pacific,1387
5,1390,433,china-southern-airlines,1389
9,23536,450,uganda,23535
18,1462,452,disney,1461
17,1759,455,jordan,1758
3,53348,456,petra,53347
7,16077,457,manchester,16076
17,2294,458,macedonia,2293
51,7899,459,scotland,7898
5,16405,461,dead-sea,16404
36,2376,463,lounges,2375
29,5706,464,montreal,5705
27,9843,465,guidebooks,9842
75,1726,466,data-plans,1725
63,4489,469,morocco,4488
22,3006,470,melbourne,3005
43,3051,471,egypt,3050
136,2236,473,exchange,2235
26,2400,480,serbia,2399
15,2368,481,albania,2367
15,2420,483,athens,2419
14,2958,484,bucharest,2957
31,3723,492,event-travel,3722
19,9827,494,hawaii,9826
7,4556,495,korean-air,4555
10,1673,497,yvr,1672
2,,499,simcards,
30,7474,500,sri-lanka,7473
12,17506,503,northern-ireland,17505
13,2360,505,southern-california,2359
103,2877,510,belgium,2876
62,2854,511,brussels,2853
9,6403,512,southeast-europe,6402
118,3971,515,internet,3970
40,3715,517,pets,3714
15,2256,518,balkans,2255
45,3348,519,hitchhiking,3347
30,1942,522,gps-navigation,1941
67,10002,523,croatia,10001
8,7090,527,batumi,7089
17,9871,531,couchsurfing,9870
15,2880,533,geneva,2879
44,11724,534,duty-free,11723
110,1934,536,gear,1933
594,2242,539,legal,2241
42,1969,540,bangkok,1968
7,1967,541,sofia,1966
18,1965,542,oneworld,1964
29,9833,544,las-vegas,9832
122,2004,546,eu,2003
24,9835,548,group-travel,9834
9,2002,549,liechtenstein,2001
74,2222,550,austria,2221
46,9817,551,national-parks,9816
13,16128,553,niagara-falls,16127
21,3725,554,insects,3724
26,8303,555,alps,8302
23,2088,556,ontario,2087
21,2147,564,helsinki,2146
37,2132,566,finland,2131
38,2162,570,nepal,2161
41,2423,574,cdg,2422
69,2202,575,uae,2201
7,10481,576,arctic,10480
5,2210,579,space,2209
8,2212,581,kerala,2211
37,2208,582,cities,2207
9,2216,586,us-airways,2215
11,13263,588,san-diego,13262
53,2268,590,jfk,2267
2,8180,595,chernobyl,8179
2,2412,598,shkoder,2411
102,5682,600,culture,5681
7,16236,601,homestay,16235
26,5885,604,gifts,5884
16,2902,607,interrail,2901
33,2430,608,tap-water,2429
20,23534,610,local-knowledge,23533
112,9847,613,dubai,9846
52,2440,614,dxb,2439
15,13721,618,latvia,13720
7,2526,619,riga,2525
19,16197,620,jamaica,16196
6,2483,622,georgia-usa,2482
52,16450,623,winter-sports,16449
20,10000,624,pre-pay,9999
42,4131,628,czech-republic,4130
34,2889,629,zurich,2888
2,,631,berat,
206,9861,632,us-visa-waiver-program,9860
32,9815,633,costa-rica,9814
8,,636,safari,
65,9813,639,stop-overs,9812
10,10014,641,aeroflot,10013
8,2591,642,scandinavia,2590
5,2593,643,nordic-countries,2592
15,5091,646,swiss,5090
12,4546,647,singapore-airlines,4545
306,2650,650,us-citizens,2649
104,2652,651,australian-citizens,2651
82,2658,653,canadian-citizens,2657
9,2654,654,nz-citizens,2653
63,2656,655,eu-citizens,2655
76,3343,656,beaches,3342
86,2665,657,bicycles,2664
104,2667,660,identify-this,2666
26,2663,664,tbilisi,2662
56,3345,666,winter,3344
18,4513,669,central-europe,4512
28,10491,671,accessibility,10490
35,2776,673,day-trips,2775
9,2774,674,cairo,2773
68,10466,676,recommendations,10465
111,3731,679,south-korea,3730
6,2818,681,thessaloniki,2817
50,9809,682,communication,9808
8,9730,683,mount-everest,9729
246,3060,684,tips-and-tricks,3059
31,3729,686,locate-this,3728
28,2849,687,vantage-points,2848
46,9435,691,nightlife,9434
109,2851,692,terminology,2850
174,2887,693,uk-citizens,2886
7,16130,697,tel-aviv,16129
28,2898,698,vienna,2897
4,52890,699,namibia,52889
5,4565,705,air-new-zealand,4564
170,6412,709,electronic-items,6411
37,9977,713,lufthansa,9976
7,5521,714,amazon-jungle,5520
4,16346,715,submarine,16345
32,9859,719,chicago,9858
66,6626,721,alcohol,6625
3,8172,725,auschwitz,8171
43,3008,726,sydney,3007
18,3011,727,kyoto,3010
3,2997,729,vce,2996
2,18303,732,jonkoping,18302
12,16589,735,venezuela,16588
5,14717,737,yosemite,14716
257,4371,739,regulations,4370
10,6215,743,boeing,6214
106,5873,744,aircraft,5872
95,5883,747,brazil,5882
155,16756,749,dual-nationality,16755
92,9734,751,hygiene,9733
3,3150,753,great-barrier-reef,3149
2,,756,no-costs,
17,3179,759,disputed-territories,3178
48,3713,760,asia,3712
19,9857,761,geography,9856
54,5684,766,countries,5683
8,31151,773,kyushu,31150
6,3254,775,hostelworld,3253
30,11705,777,sports-events,11704
298,9801,783,paperwork,9800
5,16132,786,fjords,16131
122,9799,789,shopping,9798
20,23541,790,souvenirs,23540
26,3858,791,iranian-citizens,3857
17,10472,794,hot-springs,10471
30,3717,795,embassies,3716
71,4554,798,british-airways,4553
8,,802,footwear,
5,10485,803,no-advance-plans,10484
59,9819,804,architecture,9818
43,4491,806,landmarks,4490
8,23912,808,thanksgiving,23911
70,4380,810,visa-free-entry,4379
69,9811,811,restaurants,9810
41,9443,812,one-way,9442
119,10477,814,study,10476
48,3433,815,languages,3432
10,16762,816,surfing,16761
4,16409,817,valencia,16408
72,7901,818,berlin,7900
2,,819,parking,
15,16458,824,patagonia,16457
66,9853,825,chile,9852
20,10008,827,snow,10007
99,4382,828,visas-on-arrival,4381
14,11726,831,war-zones,11725
113,3793,838,amsterdam,3792
289,9803,839,layovers,9802
57,9825,840,walking,9824
2,,843,the-hippie-trail,
34,10870,851,greyhound,10869
45,3862,854,russian-citizens,3861
28,10845,856,qatar,10844
6,37058,862,sicily,37057
19,11715,870,islam,11714
11,3719,872,sex,3718
9,3697,875,lcy,3696
41,8170,877,amtrak,8169
56,4373,882,public-holidays,4372
8,3868,888,new-south-wales,3867
27,4051,889,sfo,4050
15,4147,891,auroras,4146
6,3866,892,san-jose-california,3865
7,19670,893,tromso,19669
41,3791,902,ams,3790
8,3978,903,basel,3977
2,36707,904,baltic-sea,36706
9,11399,905,kaliningrad,11398
3,,907,curonian-spit,
30,3856,908,german-citizens,3855
59,4087,914,religion,4086
12,23904,916,temples,23903
14,3854,919,amusement-parks,3853
7,3852,920,cairns,3851
36,4085,922,statistics,4084
33,4517,924,roaming,4516
19,3892,931,indonesian-citizens,3891
6,14792,933,greenland,14791
8,3956,935,cancun,3955
11,16394,937,volcanoes,16393
3,4009,943,french-guiana,4008
12,30898,945,global-entry,30897
26,4075,955,new-delhi,4074
23,11703,962,sailing,11702
136,8537,965,where-on-earth,8536
7,16204,967,galapagos-islands,16203
15,4203,973,north-korea,4202
21,9422,977,offroad,9421
6,9551,978,bath-england,9550
8,4220,979,animal-riding,4219
12,24526,981,ethical-travel,24525
21,4212,984,luxury,4211
5,4206,985,north-africa,4205
14,23265,986,resorts,23264
9,13735,987,deserts,13734
36,4210,989,long-term,4209
5,16328,992,altitude,16327
2,31153,995,christmas-island,31152
9,16124,997,rio-de-janeiro,16123
6,4260,998,sweden-citizens,4259
35,9841,1000,short-notice,9840
11,4279,1003,polish-citizens,4278
5,18507,1006,senegal,18506
2,4700,1010,dakar,4699
23,11709,1011,entertainment,11708
6,4695,1012,carnival-mardi-gras,4694
78,9823,1013,sleeping,9822
30,9837,1015,low-cost-carriers,9836
42,4367,1017,chinese-citizens,4366
65,4586,1019,tsa,4585
11,9869,1020,cape-town,9868
10,23920,1021,oregon,23919
10,16240,1024,marrakech,16239
54,4552,1031,american-airlines,4551
15,4673,1035,nudism,4672
12,11717,1040,mediterranean,11716
27,4646,1044,klm,4645
21,4724,1054,ord,4723
233,4742,1056,esta,4741
6,14539,1064,new-orleans,14538
16,16227,1066,music,16226
2,31155,1072,byron-bay,31154
67,7343,1075,california,7342
24,18613,1081,mumbai,18612
16,30854,1092,osaka,30853
11,17533,1094,machu-picchu,17532
11,4980,1095,discrimination,4979
522,5021,1097,indian-citizens,5020
9,14478,1099,phuket,14477
3,,1103,burning-man,
5,20907,1105,fiji,20906
14,11713,1106,natural-disasters,11712
35,11711,1107,emergencies,11710
6,6222,1119,wroclaw,6221
45,9849,1123,england,9848
2,5279,1128,lgb,5278
13,17314,1129,bosnia,17313
7,24352,1136,rajasthan,24351
9,16134,1137,jerusalem,16133
17,27600,1143,air-india,27599
4,16242,1144,kingfisher-airlines,16241
15,8190,1145,krakow,8189
5,6126,1148,gdansk,6125
2,,1150,daintree,
19,10594,1153,tax-refunds,10593
10,5499,1154,ltn,5498
4,5502,1155,east-asia,5501
28,5519,1156,seoul,5518
7,5596,1172,scenic-routes,5595
23,5641,1176,lisbon,5640
3,,1187,banks,
21,5766,1196,eta,5765
34,23528,1197,cultural-awareness,23527
21,18509,1199,kuwait,18508
24,5832,1206,visa-runs,5831
93,9432,1207,cancellations,9431
303,9805,1208,bookings,9804
5,5850,1210,pek,5849
5,,1215,technical-stops,
3,,1216,honolulu,
31,9430,1219,panama,9429
5,10872,1221,marshrutkas,10871
23,16126,1222,traffic,16125
28,6346,1227,geek-travel,6345
124,6559,1231,factoids,6558
2,30856,1236,jodhpur,30855
3,6108,1239,yerevan,6107
14,6394,1240,ships,6393
16,6265,1255,bahamas,6264
24,6282,1258,copenhagen,6281
10,23273,1259,charter,23272
5,47004,1260,split,47003
14,30999,1264,eurail,30998
14,8196,1265,zrh,8195
2,,1266,plane-spotting,
3,9549,1268,andaman-nicobar-islands,9548
5,16425,1269,helicopters,16424
9,9547,1275,arizona,9546
15,22544,1281,travel-tools,22543
19,6484,1283,socializing,6483
11,10988,1286,goa,10987
12,7462,1287,bangalore,7461
16,8160,1290,yyz,8159
11,16758,1292,siberia,16757
2,8174,1293,baikal,8173
6,6664,1296,philippine-airlines,6663
56,13723,1299,portugal,13722
7,6668,1300,alaska-airlines,6667
26,8599,1306,moscow,8598
28,10479,1311,volunteering,10478
21,7303,1315,madrid,7302
7,20913,1323,jakarta,20912
3,,1325,manhattan,
7,10006,1331,olympics,10005
48,9428,1340,colombia,9427
3,,1343,mobile-internet,
13,7104,1348,saudi-citizens,7103
2,,1353,timbuktu,
3,52888,1354,mali,52887
23,7178,1357,fra,7177
30,7230,1358,ist,7229
7,23910,1360,maryland,23909
8,7300,1368,monaco,7299
6,60898,1370,extreme-sports,60897
5,7331,1371,south-asia,7330
62,11719,1386,etiquette,11718
9,10624,1395,vatican-city,10623
6,8166,1398,lima,8165
6,30985,1402,kashmir,30984
4,,1403,ko-phi-phi,
11,16344,1404,israeli-citizens,16343
13,23530,1407,travel-companions,23529
9,7785,1410,hhn,7784
31,31014,1414,import-tax,31013
7,65879,1416,new-jersey,65878
4,53011,1419,christchurch,53010
22,7909,1422,dublin,7908
9,30987,1425,ramadan,30986
31,8052,1426,sncf,8051
7,7976,1429,bkk,7975
5,18611,1430,cannes,18610
5,59371,1433,school-holidays,59370
35,10470,1435,barcelona,10469
3,,1437,bad-weather,
13,8040,1440,quebec,8039
12,23263,1447,vientiane,23262
2,8327,1449,lusaka,8326
6,31018,1450,zambia,31017
82,9807,1452,fees-and-charges,9806
6,8158,1454,la-paz,8157
15,14565,1458,saint-petersburg,14564
24,8325,1459,prague,8324
48,13730,1462,ryanair,13729
18,10016,1465,air-canada,10015
17,17312,1467,montenegro,17311
15,8331,1469,bavaria,8330
27,8275,1471,airbnb,8274
30,9910,1473,swimming,9909
6,16212,1476,romance,16211
10,17219,1481,siem-reap,17218
2,,1483,pakse,
5,65877,1485,universal-studios,65876
2,,1486,metro,
5,8441,1491,dolomites,8440
18,16326,1494,flight-status,16325
7,52835,1498,peak-district,52834
9,23908,1500,software,23907
13,8544,1504,slovakia,8543
14,8530,1505,canary-islands,8529
4,17316,1507,ghent,17315
22,9912,1527,water-sports,9911
8,,1529,stateless-persons,
5,8749,1532,baltics,8748
15,8893,1535,ukrainian-citizens,8892
166,9821,1536,hand-luggage,9820
7,8840,1538,pregnancy,8839
3,9258,1540,eurozone,9257
2,53272,1545,bodrum,53271
4,10483,1546,great-wall-of-china,10482
3,23922,1551,mecca,23921
33,12759,1553,saudi-arabia,12758
5,9720,1556,airline-alliances,9719
9,23532,1559,washington-state,23531
16,16460,1560,summer,16459
12,9095,1565,hkg,9094
10,9131,1566,santiago-de-chile,9130
6,16074,1571,paraguay,16073
5,11200,1572,wwoof,11199
5,65873,1576,maui,65872
14,9572,1579,etihad,9571
1,16168,1580,libya,16167
10,31020,1589,guangzhou,31019
2,9318,1590,can,9317
19,9851,1593,doha,9850
7,9358,1597,hel,9357
3,53039,1599,french-polynesia,53038
5,52994,1600,jeju,52993
4,10145,1605,new-england,10144
10,9464,1606,syd,9463
5,9402,1607,ankara,9401
4,,1608,cappadocia,
18,30859,1609,japan-rail,30858
7,9407,1611,iguazu-falls,9406
22,9957,1616,events,9956
11,23281,1620,ride-sharing,23280
3,9491,1623,asuncion,9490
56,10295,1628,family,10294
12,9539,1629,icn,9538
2,,1634,e-tickets,
2,,1635,boarding-passes,
10,18505,1640,cologne,18504
41,9588,1641,munich,9587
15,10267,1644,lille,10266
3,9982,1653,nova-scotia,9981
12,11314,1655,queensland,11313
6,16338,1661,nevada,16337
3,,1664,victoria-falls,
6,53363,1667,pyrenees,53362
10,20909,1668,dusseldorf,20908
15,9964,1670,bru,9963
28,16312,1672,nigerian-citizens,16311
6,9975,1673,travel-obstructions,9974
3,16173,1676,malawi,16172
14,10072,1682,tenerife,10071
9,10107,1686,rvs,10106
15,16407,1688,texas,16406
4,10165,1692,arn,10164
33,23275,1693,qatar-airways,23274
4,10457,1696,scl,10456
7,52957,1699,nicaraguan-citizens,52956
14,31001,1700,i-94,31000
3,,1701,fortresses,
2,,1702,citadels,
7,10384,1713,radiation,10383
12,10523,1722,atlanta,10522
19,10525,1724,brisbane,10524
16,10551,1729,turkish-citizens,10550
2,10702,1733,georgian-language,10701
7,10647,1734,russian-language,10646
30,10704,1735,egyptian-citizens,10703
3,10655,1736,den,10654
6,12751,1739,formula-one,12750
2,53076,1740,grands-prix,53075
9,10699,1742,salzburg,10698
7,16281,1744,japanese-language,16280
3,53330,1746,lake-district,53329
10,11192,1752,bangladesh,11191
2,52959,1753,tasmania,52958
3,12829,1754,genoa,12828
17,10800,1757,tolls,10799
1,10809,1760,danube,10808
21,10875,1761,bali,10874
8,51872,1763,chiang-mai,51871
9,16208,1764,eastern-usa,16207
6,53046,1765,louvre,53045
10,53390,1767,himalayas,53389
1,10953,1769,tos,10952
1,13741,1773,tse,13740
2,10977,1774,airport-link,10976
5,10980,1775,late-arrival,10979
19,10983,1776,qantas,10982
3,10986,1777,bsl,10985
1,16166,1778,idaho,16165
9,26300,1781,chennai,26299
23,11029,1785,french-citizens,11028
1,11407,1792,gye,11406
1,11405,1793,guayaquil,11404
10,16316,1795,del,16315
7,11074,1797,tamil-nadu,11073
13,11397,1799,nice,11396
5,53044,1800,french-riviera,53043
146,14719,1801,weather-and-climate,14718
15,16238,1802,military,16237
3,,1803,gran-canaria,
6,69420,1804,opaque-provider,69419
67,16148,1807,pakistani-citizens,16147
1,11389,1808,ein,11388
6,20978,1809,maastricht,20977
2,11395,1810,andalusia,11394
13,11157,1813,dutch-citizens,11156
3,11319,1815,sjo,11318
1,11162,1816,san-jose,11161
1,11391,1817,amritsar,11390
10,11387,1818,florence,11386
8,11403,1820,swiss-citizens,11402
6,11401,1821,spanish-citizens,11400
9,11385,1822,lyon,11384
24,11383,1823,milan,11382
19,11294,1824,upgrades,11293
3,11393,1825,pittsburgh,11392
8,,1828,government-buildings,
13,23545,1829,backpacks,23544
7,11381,1830,kathmandu,11380
10,16760,1837,salar-de-uyuni,16759
3,,1838,puno,
1,11453,1839,wakayama,11452
6,16314,1840,nuremberg,16313
33,11721,1841,eurostar,11720
8,11479,1842,mad,11478
7,23256,1846,new-caledonia,23255
17,31010,1848,timezones,31009
15,39766,1852,riverboats,39765
5,16956,1854,loire-valley,16955
17,23279,1855,okinawa,23278
6,17490,1856,bhutan,17489
10,16233,1857,miami,16232
11,11593,1858,oceania,11592
7,11614,1859,sin,11613
57,16334,1860,south-african-citizens,16333
5,11631,1861,eze,11630
6,52882,1869,oman,52881
2,11733,1872,tsf,11732
10,52083,1873,rivers,52082
21,17473,1876,myanmar,17472
13,12777,1877,muc,12776
33,12809,1880,nrt,12808
2,16150,1882,turin,16149
6,16140,1889,uzbek-citizens,16139
28,16122,1890,drugs,16121
34,16085,1891,female-travellers,16084
29,23538,1893,marriages,23537
80,14687,1897,seating,14686
5,,1900,adapters,
3,13069,1902,perth,13068
2,13071,1903,tfs,13070
2,16138,1904,ukrainian-language,16137
15,16199,1906,malta,16198
170,13126,1907,payment-cards,13125
10,16120,1911,football,16119
5,13220,1913,taiwanese-citizens,13219
10,13227,1914,rural,13226
1,13265,1916,great-plains,13264
94,16330,1917,price,16329
15,13717,1918,mexico-city,13716
5,14220,1919,mex,14219
3,13323,1921,tuscany,13322
22,13334,1922,dietary-restrictions,13333
19,49975,1924,invitation-letter,49974
5,13388,1925,japanese-visitors,13387
14,16171,1926,lakes,16170
7,16612,1927,taipei,16611
1,13412,1929,roc,13411
1,13414,1930,tyo,13413
1,13418,1931,asr,13417
1,13416,1932,nav,13415
13,20905,1933,reykjavik,20904
15,14796,1935,warsaw,14795
13,30995,1936,fraud,30994
7,14794,1938,vie,14793
4,14882,1940,rhine,14881
